Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
507226,0.071172739,0,0.015224876,0.116174959,0.059572722,0.172993054,0,0,0.032361119,0,0.001432824,0.052042276,0.062391863,0,0,0.016643274,0,0,0.0157025,0,0,0.384287794,0,0.930499359,0.488302806
508700,0.053882644,0.004582339,0.021381298,0.108839752,0.103548403,0.172107286,0,0,0.011227015,0,0.057188359,0.008258947,0.042776178,0.020489257,0,0.008922875,0,0,0.003590752,0,0,0.383204895,0,0.896542189,0.526467129
508566,0.029739074,0.013815587,0.013199333,0.152448865,0,0.133544921,0,0,0.081691592,0,0.01740581,0.074805573,0.009063822,0,0,0.008715967,0,0.00112556,0.022780528,0,0,0.441663365,0,0.896099833,0.509296949
508416,0.070448432,0.024014696,0.022986522,0.144254662,0.019072915,0.133873549,0.002527217,0,0.020471874,0,0.052966278,0.00143105,0.066605106,0.010562425,0,0.002847967,0,0,0.011650281,0,0,0.416287028,0,0.869996524,0.547144288
507607,0.068558009,0,0.01743107,0.141411158,0.05851031,0.125154307,0.005756422,0,0.004314425,0,0.046001919,0.024033388,0.03183731,0.011365394,0,0.009836935,0,0,0.006330919,0,0,0.449458434,0,0.914453476,0.479476675
506989,0.055758376,0.007305276,0.022964022,0.09886357,0.03476913,0.144067966,0,0,0,0,0.031051219,0.039505804,0.043153449,0,0,0,0,0.003758573,0.008701467,0,0,0.510101149,0,0.911880057,0.458237943
508890,0.121953435,0,0.019084533,0.1109721,0.014658777,0.127559004,0,0,0.020915302,0,0.069361946,0.016362149,0.143074457,0,0,0.007353196,0,0.002149361,0.017808089,0,0,0.328747652,0,0.927080214,0.512523226
509532,0.030193086,0.016951603,0.018741574,0.121310626,0.005433282,0.11419029,0,0,0.03045026,0,0.042631427,0.028897426,0.013785894,0,0,0.00725116,0,0.002184887,0.025342164,0,0,0.542636321,0,0.913848311,0.446242947
509400,0.050249528,0.006014008,0.01811883,0.105233272,0.082223651,0.12162033,0,0,0.00475194,0,0.027377929,0.030895234,0.024821439,0,0,0.015020531,0,0.00292538,0.013780648,0,0,0.496967279,0,0.897541387,0.485984504
509699,0.079031253,0.010546316,0.023717034,0.185032783,0.090486665,0.143105568,0,0,0.024621645,0,0.041562429,0.054341326,0.096523576,0.014463947,0,0.008381919,0,0,0.006670473,0,0,0.221515067,0,0.882387383,0.590293986
512176,0.070064544,0,0.023586183,0.141756294,0.073862419,0.200638376,0,0,0.018076228,0,0.104116094,0.051320508,0.02583968,0,0,0.004753803,0,0.007680601,0,0,0,0.278305269,0,0.915683627,0.534075757
512238,0.052859982,0.002959904,0.020103993,0.147792183,0.009233901,0.132029778,0.001330558,0,0.050183973,0,0.028614243,0.045236901,0.037725093,0,0,0.001271686,0,0.002102122,0.007357543,0,0,0.461198141,0,0.919681415,0.466908316
512892,0.078763178,0.004286171,0.045217516,0.151826589,0.001373287,0.173491904,0,0,0.041361398,0,0.098265591,0.067431359,0.062924163,0.001980139,0,0,0,0.007901857,0.004158139,0,0,0.261018709,0,0.835879876,0.621031162
512611,0.090381642,0.005984554,0.031775862,0.119624051,0.061801157,0.194743241,0,0,0.011430928,0,0.036352469,0.044245735,0.024779805,0,0,0.008147833,0,0.004300319,0.005613148,0,0,0.360819256,0,0.885961754,0.550705127
512652,0.060557231,0,0.021170492,0.144263446,0.060766803,0.11639644,0,0,0.042815987,0,0.059542973,0.04376028,0.039971422,0.001063396,0,0.008433999,0,0,0.013749396,0,0,0.387508136,0,0.750306075,0.675681587
512537,0.031567013,0.015121049,0.022447085,0.142113376,0.098223574,0.187769772,0,0,0.009112433,0,0.102435691,0.042763491,0.076191343,0.009540892,0,0.00816761,0,0.003505217,0,0,0,0.251041455,0,0.880821745,0.57681132
512908,0.022420314,0.010148132,0.016975981,0.231172352,0.017604078,0.100196106,0.003164508,0,0.050433705,0,0.099680596,0.091680478,0.070601167,0,0,0.005143644,0,0,0.015819151,0,0,0.264959787,0,0.904938303,0.53911496
513321,0.093608004,0,0.026667377,0.147645927,0,0.068346551,0,0,0.032785199,0,0.163246113,0.025594233,0.085247016,0.001681676,0,0,0,0.001771482,0.000314176,0,0,0.353092245,0,0.836220418,0.594512023
513612,0.04494975,0,0.01071391,0.04160763,0.049366123,0.062797934,0,0,0.015282214,0,0.038543999,0.019130208,0,0.011309288,0,0.004987674,0,0,0.003129509,0,0,0.698181761,0,0.903360929,0.434441071
513369,0.035716732,0.04307084,0.026370218,0.1446866,0.009154164,0.192522805,0,0,0.054299989,0,0,0.030792842,0.037311469,0,0,0,0,0.000270737,0.027544519,0,0,0.398259084,0,0.877691621,0.547452255
513704,0.050072422,0.017057763,0.027425274,0.116201942,0.063250888,0.166511847,0,0,0.031639844,0,0.041189798,0.051080918,0.079287921,0.007488558,0,0,0,0.002389911,0.016579041,0,0,0.329823873,0,0.902541333,0.543221458
513523,0.109418849,0,0.024064498,0.104971818,0.038389003,0.203058298,0,0,0.033099173,0,0.017477917,0.02380468,0.084052133,0,0,0.006808247,0,0.005812264,0.017581122,0,0,0.331462,0,0.872201031,0.574756404
514562,0.090954762,0.010168453,0.031731956,0.188184366,0.012728672,0.141096603,0.00542483,0,0.019227269,0,0.10939622,0.086458809,0.004052312,0,0,0.013293858,0,0.003287977,0.009768297,0,0,0.274225617,0,0.86906521,0.58225577
512508,0.035972213,0,0.018017429,0.089157963,0,0.106491013,4.78274252501114e-05,0,0.014714608,0,0.056745803,0.026843928,0,0,0,0,0,0.007055436,0.019876866,0,0,0.625076912,0,0.927675623,0.394495331
513314,0.047076748,0.007831359,0.022005654,0.123787896,0,0.116158076,0,0,0.035162274,0,0.120128499,0.039546394,0.080347875,0.000160245,0,0.000343671,0,0.000481746,0.009495411,0,0,0.397474152,0,0.884459328,0.531015414
516064,0.055300844,0.02653824,0.029182227,0.208191976,0,0.135570623,0.001966771,0,0.056617815,0,0.066322671,0.069812946,0.022096002,0,0,0.004028785,0,0.000204481,0.011768513,0,0,0.312398105,0,0.856909046,0.588874982
515851,0.015259149,0.001305465,0.010968815,0.179493998,0.017322203,0.170489067,0.008506374,0,0.023219002,0,0.071887985,0.069656753,0,0,0,0,0,0.001754971,0.006011142,0,0,0.424125077,0,0.92551118,0.465354009
516140,0.054188503,0.007699433,0.034817195,0.154805517,0,0.070970826,0,0,0.079851432,0,0.00301135,0.035991804,0.05630448,0,0,0,0,0.003761148,0.027940489,0,0,0.470657823,0,0.864880767,0.538765735
515546,0.04580367,0.011955411,0.026481237,0.13581219,0,0.137757375,0,0,0.04143456,0,0.025939313,0.061497,0.046609804,0,0,0.007583552,0,0.001637163,0.03074756,0,0,0.426741165,0,0.865503587,0.552426928
518328,0.081539273,0,0.039790307,0.135742707,0.020711131,0.118693787,0,0,0.036991586,0,0.08458701,0.054529856,0.052301007,0,0,0.004773569,0,0.001063169,0.018155224,0,0,0.351121375,0,0.923838892,0.511962676
515693,0.04881148,0,0.012739385,0.174262733,0,0.093191503,0.014432042,0,0.024651255,0,0.027871545,0.024986291,0,0,0,0.003097714,0,0.008553682,0.037897123,0,0,0.529505247,0,0.93786287,0.41312224
516608,0.094537298,0,0.031426853,0.127643379,0,0.140854383,0,0,0.044605043,0,0.020827229,0.025321905,0.011536901,0,0,0.001219302,0,0.000523595,0.017114212,0,0,0.4843899,0,0.878355882,0.519262829
518374,0.065972809,0.006048612,0.038632631,0.150671339,0,0.139802209,0,0,0.026137794,0,0.053567395,0.02586918,0.035949034,0,0,0.003736607,0,0.006234125,0.01141014,0,0,0.435968124,0,0.8829289,0.527814263
518518,0.051386962,0,0.011651885,0.095898999,0.002998407,0.117337979,0.003377206,0,0.029557307,0,0.074070514,0.041846374,0.022744041,0.016508135,0,0.004890119,0,0,0.009264479,0,0,0.518467593,0,0.919095736,0.443997542
517798,0.042482584,0.027347432,0.022973506,0.155256857,0.05193737,0.122387428,0,0,0.03177985,0,0.082632027,0.053398168,0.049274072,0,0,0.010905237,0,0.002123586,0.008767992,0,0,0.338733891,0,0.910587112,0.527573739
516102,0.055694039,0.007862555,0.030420895,0.125093121,0.055701385,0.243875637,0,0,0.001485371,0,0.038286445,0.028141494,0.052324317,0,0,0.005561132,0,0.004294009,0.013743488,0,0,0.337516112,0,0.901776828,0.538210173
518533,0.046262783,0.007932724,0.017666014,0.168483994,0.029661723,0.176829921,0,0,0.021523554,0,0.134064574,0.036421492,0.004465194,0.012634617,0,0.014568386,0,0,0,0.008642217,0,0.320842808,0,0.898903325,0.538204952
518635,0.069844879,0.009512115,0.026498573,0.142662542,0.090465755,0.20054518,0,0,0.007302623,0,0.056496318,0.049600372,0.068487095,0,0,0.012797938,0,0,0.042063105,0,0,0.223723505,0,0.872924485,0.603504134
518999,0.07969833,0.011602537,0.019518128,0.114989157,0.072030846,0.170437938,0,0,0.025802158,0,0.03445734,0.027449736,0.082842722,0.005699665,0,0.005630264,0,0,0.01911579,0,0,0.330725392,0,0.904968345,0.540340903
519571,0.01901557,0,0,0.016027483,0.0772864,0.037658323,0,0,0,0,0.0011378,0.068392356,0.017433218,0.069524363,0,0.001000629,0,0.048344955,0.010663286,0,0,0.633515616,0,0.722512985,0.703419265
517359,0.054286951,0,0.013399487,0.078822024,0.012969993,0.042772596,0,0,0.034786338,0,0.021038468,0.027033938,0.025756201,0.01217975,0,0.000218358,0,0.000378662,0.010389628,0,0,0.665967607,0,0.940181621,0.35433398
519330,0.082292407,0,0.016153078,0.146818049,0.04864918,0.133502049,0,0,0.024969939,0,0.015724987,0.040131912,0.085983008,0,0,0.00065995,0,0,0.024849897,0,0,0.380265545,0,0.924440576,0.49552366
518946,0.133868734,0,0.030153946,0.105621277,0.011408865,0.160231,0,0,0.005377128,0,0.093642681,0.020348209,0.009646116,0,0,0.023256854,0,0.000545335,0.014783495,0,0,0.391116361,0,0.901199153,0.525716777
518052,0.057510131,0.008967484,0.017736896,0.070945184,0.005276152,0.132531763,0.002195046,0,0.015903738,0,0.041227794,0.001962056,0.039877354,0,0,0.005283448,0,0.000269918,0.007282674,0,0,0.593030362,0,0.922736473,0.409822493
519011,0.098220951,0.013080179,0.052778436,0.266998902,0.09982094,0.19172987,0,0,0.070630276,0,0.006190846,0.053246356,0.063833293,0,0,0,0,0.002809165,0.003720117,0,0.001127244,0.075813426,0,0.865873147,0.592834208
518191,0.070475693,0.018252429,0.046051828,0.238790934,0.023432364,0.241209584,0,0,0,0,0.109279188,0.066564499,0.030182706,0,0,0.002187898,0,0.003918805,0.002699145,0,0.003640818,0.143314109,0,0.826093511,0.625630966
520980,0.049832121,0,0.01248611,0.115979371,0.092766805,0.151416382,0.001123075,0,0.014197539,0,0.043144991,0.021901707,0.024462401,0,0,0.011652336,0,0.003652838,0.013398317,0,0,0.443986007,0,0.881881339,0.523698344
520780,0.077797659,0,0.025354758,0.08697686,0,0.12202456,0,0,0.029250475,0,0.076931629,0.092406269,0.080879457,0,0,0.001379795,0,0.001498807,0.023496273,0,0,0.382003456,0,0.868808668,0.55825745
520924,0.052148125,0.001411876,0.021998996,0.097954561,0.048957408,0.130275211,0,0,0.013943959,0,0.063819897,0.036815698,0.08576045,0,0,0.006071136,0,0.00490083,0.025372807,0,0,0.410569046,0,0.87574669,0.541984418
520874,0.058630564,0.007678435,0.024752066,0.12598589,0.01794698,0.171539043,0,0,0.057222955,0,0.037664264,0.05307005,0.033987287,0,0,0.008161014,0,0.002984311,0.011431161,0,0,0.388945981,0,0.887490847,0.539081514
520694,0.076156094,0,0.019257937,0.15126265,0.051414745,0.189805421,0.00438814,0,0.010401362,0,0.038838843,0.033900062,0.063024145,0.006699565,0,0,0,0.004809884,0.01427849,0,0,0.335762663,0,0.919510564,0.519820136
520952,0.067826187,0,0.019177002,0.098484367,0.029832298,0.100832225,0,0,0.008938235,0,0.040613509,0.03430984,0.100303274,0,0,0.015784145,0,0.005158247,0.024648638,0,0,0.454092034,0,0.945134988,0.42840302
520753,0.038028954,0,0.0294107,0.265742365,0,0.10817544,0.077084102,0.004988347,0.029587932,0,0.044346423,0.034930332,0.038501039,0,0.003984803,0,0.001197405,0.007853484,0,0.04149908,0,0.274669594,0,0.635956851,0.777628908
521453,0.087060662,0.019511769,0.026619076,0.141939293,0,0.16622878,0,0,0.055563564,0,0.046725459,0.063295145,0.049734751,0,0,0,0,0.003052901,0.01149366,0,0,0.328774941,0,0.831374002,0.614328652
522744,0.06722347,0,0.01931642,0.107382718,0.073057639,0.182656847,0,0,0.017215285,0,0.047719944,0.05261607,0.02978817,0.001531706,0,0.008353617,0,0.000524974,0.010179893,0,0,0.382433247,0,0.903120774,0.521460193
521320,0.040094108,0.013733611,0.020740305,0.114839413,0.029456028,0.146139781,0,0,0.038836128,0,0.012828319,0.025170009,0.055873756,0,0,0,0,0.000854256,0.016014572,0,0,0.485419715,0,0.928241,0.441901988
521959,0.051213989,0.006606289,0.004195932,0.198473589,0.071302551,0.143475716,0,0,0.018984499,0,0.026779663,0.025730405,0.094417841,0,0,0.007088915,0,0,0.012155818,0,0,0.339574792,0,0.908867025,0.521235991
521426,0.054673363,0.010808011,0.019622879,0.116068656,0.019185089,0.158556584,0,0,0.045942997,0,0.048106824,0.020297349,0.02299167,0,0,0.011532172,0,0.001632383,0.012499875,0,0,0.458082148,0,0.922424616,0.467357021
